Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
chapter1_d1a5f31b	narrator	The fading sunlight streams through the office windows.	game/story/chapter1.rpy	75	narrator "[what]"
chapter1_aaaabef1	narrator	The warm, 4 P.M. glow slowly losing its battle to the cold, fluorescent lights.	game/story/chapter1.rpy	76	narrator "[what]"
chapter1_f49c1d79	narrator	You hear muffled chatter around your cubicle.	game/story/chapter1.rpy	77	narrator "[what]"
chapter1_d6bc81e2	narrator	Feelings of dread wash over you. You continue typing, trying to focus on the computer screen while keeping your composure.	game/story/chapter1.rpy	111	narrator "[what]"
chapter1_1724fa83	narrator	A man peaks over the cubicle.	game/story/chapter1.rpy	112	narrator "[what]"
chapter1_15f8cfc3	narrator	You see, your coworker, Devon, hovers over you like a lost puppy.	game/story/chapter1.rpy	130	narrator "[what]"
chapter1_c96de286	narrator	Devon was hired a month before you, but he gloms onto you like an imprinted duckling for some reason.	game/story/chapter1.rpy	131	narrator "[what]"
see_devon_48359519	Devon	Hey, Serene!	game/story/chapter1.rpy	135	Devon "[what]"
see_devon_c8299fef	extend	 Can I borrow your pen real fast?	game/story/chapter1.rpy	136	extend "[what]"
see_devon_db9115b6	Devon	I think I dropped it somewhere on my way back here.	game/story/chapter1.rpy	137	Devon "[what]"
annoying_devon1_11fdb519	extend		game/story/chapter1.rpy	142	extend "[what]" nointeract
annoying_devon1_0fd29acd	narrator	Are you sure? I don't think you quite understand what you're signing yourself up for.	game/story/chapter1.rpy	148	narrator "[what]"
ignore_devon_196fec01	narrator	Your keyboard's keystrokes grow louder in an attempt to drown out his sorry attempt at consoling you.	game/story/chapter1.rpy	154	narrator "[what]"
ignore_devon_8a1edcdf	Devon	What's up? {w=2.0}You look worried.{w=1.0} Is it about the lay-offs...? {w=2.0}You'll be alright.	game/story/chapter1.rpy	155	Devon "[what]"
ignore_devon_44240e52	narrator	Ever eager to step on eggshells, Devon delves into an unsolicited therapy session.	game/story/chapter1.rpy	161	narrator "[what]"
ignore_devon_bd6f347e	narrator	So you type, louder and more deliberate, keystrokes firing out in an attempt to ignore this nonsense.	game/story/chapter1.rpy	162	narrator "[what]"
ignore_devon_51969e72	narrator	Devon does not relent.	game/story/chapter1.rpy	163	narrator "[what]"
ignore_devon_53afd010	Devon	I mean, they already fired like five people in our department, what are the odds they'd keep going? 	game/story/chapter1.rpy	165	Devon "[what]"
ignore_devon_72308d7b	narrator	You abruptly stop typing, and without turning your head, you shift your gaze to meet Devon's.	game/story/chapter1.rpy	167	narrator "[what]"
ignore_devon_a7f99a7a	narrator	He's looking at you with his signature smile.	game/story/chapter1.rpy	169	narrator "[what]"
ignore_devon_0ae6a920	narrator	 His bright attitude is almost blinding sometimes.	game/story/chapter1.rpy	171	narrator "[what]"
ignore_devon_a383243b	narrator	You take a deep breath before summoning the patience to respond.	game/story/chapter1.rpy	172	narrator "[what]"
ignore_devon_907c6fce	Serene	Devon, I appreciate you but please. I just—	game/story/chapter1.rpy	175	Serene "[what]"
ignore_devon_6c86252d	narrator	You are suddenly interrupted by an authoritative voice booming over your cubicle.	game/story/chapter1.rpy	181	narrator "[what]"
ignore_devon_15713955	Devon	Op!	game/story/chapter1.rpy	183	Devon "[what]"
ignore_devon_997d8b59	narrator	Devon ducks and quickly scurries back to his side of the cubicle.	game/story/chapter1.rpy	187	narrator "[what]"
ignore_devon_5d65fd7f	Manager	Serene... Can you meet me at the corner office in five minutes?	game/story/chapter1.rpy	189	Manager "[what]"
ignore_devon_1753c63f	Serene	Y-yes. I'll be right there.	game/story/chapter1.rpy	191	Serene "[what]"
ignore_devon_faa7db1d	narrator	The Manager walks back down the hallway, escorting an emotional, laid-off employee with security in tow.	game/story/chapter1.rpy	193	narrator "[what]"
ignore_devon_bc530420	narrator	Their cries linger in the stale office air like forlorn dissonance.	game/story/chapter1.rpy	194	narrator "[what]"
ignore_devon_b2f51834	narrator	You sit blankly at your desk.	game/story/chapter1.rpy	196	narrator "[what]"
ignore_devon_d4e4a0de	narrator	It feels like all the blood has drained from your body, your hands are like icicles.	game/story/chapter1.rpy	197	narrator "[what]"
ignore_devon_04e46fb3	se	(I hate this. I hate this. I hate this. I hate this feeling. I HATE this.)	game/story/chapter1.rpy	198	se "[what]"
ignore_devon_9f6f97fd	Serene	Just breathe. Just. Breathe.	game/story/chapter1.rpy	201	Serene "[what]"
ignore_devon_23ed8afa	narrator	Your Phone chimes in your pocket. You've received a new message.	game/story/chapter1.rpy	204	narrator "[what]"
ignore_devon_73a572e6	Phone	 Unknown Number - Principality of Balenci	game/story/chapter1.rpy	208	Phone "[what]"
ignore_devon_46f68c77	narrator	Puzzled, you swipe on the notification to read the message.	game/story/chapter1.rpy	210	narrator "[what]"
ignore_devon_67b8b087	Phone	 A Shimmer request has been initiated. Reply (Y) to accept.	game/story/chapter1.rpy	212	Phone "[what]"
ignore_devon_3d7795b8	se	(Principality of Balenci...? {w=1.0} What is this...?{w=1.0} A scam...?)	game/story/chapter1.rpy	215	se "[what]"
ignore_devon_b243c153	narrator	Shaking your head you set your Phone down before laughing cathartically.	game/story/chapter1.rpy	218	narrator "[what]"
ignore_devon_c7647495	Devon	That's right Serene! You're finally listening to what I've been telling you!!	game/story/chapter1.rpy	221	Devon "[what]"
ignore_devon_6bd957ee	Devon	You just need a positive attitude, and everything will be-	game/story/chapter1.rpy	222	Devon "[what]"
ignore_devon_f2bba590	Devon	Oh whats up...?	game/story/chapter1.rpy	223	Devon "[what]"
ignore_devon_a3feac83	Devon	You're on the Phone?!	game/story/chapter1.rpy	224	Devon "[what]"
ignore_devon_87ceffe4	Devon	Keep my voice down?!	game/story/chapter1.rpy	225	Devon "[what]"
ignore_devon_95670644	Devon	Oh, my fault I...!	game/story/chapter1.rpy	226	Devon "[what]"
ignore_devon_de92aad0	narrator	Devon's voice starts to fade as if he is moving further and further away.	game/story/chapter1.rpy	228	narrator "[what]"
ignore_devon_b70376e7	se	(...Okay, yeah. Never mind. I'm over it today.)	game/story/chapter1.rpy	231	se "[what]"
ignore_devon_4f3ce8db	narrator	You pick up your Phone, and without hesitating you reply (Y).	game/story/chapter1.rpy	233	narrator "[what]"
ignore_devon_a66cf65f	Phone	Thank you for your response. It appears that you are in an unsatisfactory location.	game/story/chapter1.rpy	235	Phone "[what]"
ignore_devon_07cc9a79	Phone	Please relocate to an area away from other people.	game/story/chapter1.rpy	236	Phone "[what]"
ignore_devon_12725250	narrator	You look at the message in bewilderment.	game/story/chapter1.rpy	238	narrator "[what]"
ignore_devon_d799f373	se	(Huh. That's a new one. No Nigerian prince to give money to?)	game/story/chapter1.rpy	241	se "[what]"
ignore_devon_b90b0588	se	(I'm so dumb.)	game/story/chapter1.rpy	244	se "[what]"
ignore_devon_eaedddcb	Phone	 Shimmer will commence in 10 seconds.	game/story/chapter1.rpy	246	Phone "[what]"
ignore_devon_4fef46cf	se	(For a second there, I was really hoping something was going to happen...)	game/story/chapter1.rpy	248	se "[what]"
ignore_devon_6f336684	narrator	A flash of sparkling bright white light comes across the room and envelopes the world around you.	game/story/chapter1.rpy	250	narrator "[what]"
ignore_devon_4d08a6c8	Serene	Okay, I spoke too soon; I guess I'm just dying.	game/story/chapter1.rpy	252	Serene "[what]"
ignore_devon_837ea01b	Phone	Shimmer will commence in 5 seconds.	game/story/chapter1.rpy	254	Phone "[what]"
ignore_devon_2e72cde8	Serene	Surprisingly, I'm okay with this.	game/story/chapter1.rpy	258	Serene "[what]"
ignore_devon_c90a9589	Moonga	Wait look! Something's happening!	game/story/chapter1.rpy	270	Moonga "[what]"
ignore_devon_8e86fff3	Sunela	SEE! I TOLD YOU!!	game/story/chapter1.rpy	271	Sunela "[what]"
ignore_devon_4c3c4180	Panna	Both of you...Relax.	game/story/chapter1.rpy	272	Panna "[what]"
ignore_devon_b9d7747d	Moonga	Aww man. Lame, it's just a girl.	game/story/chapter1.rpy	275	Moonga "[what]"
ignore_devon_ea70aac5	Sunela	HEY! Girls can be heroes too! I wonder what kind of powers she has.	game/story/chapter1.rpy	277	Sunela "[what]"
ignore_devon_e3121250	Sunela	The book said they can do all kinds of stuff!	game/story/chapter1.rpy	278	Sunela "[what]"
ignore_devon_9ec40adb	narrator	You stand in the middle of a bizarre, glowing circle.	game/story/chapter1.rpy	280	narrator "[what]"
ignore_devon_2fe83ad8	narrator	As the flames dissipate, your eyes are drawn to three small figures standing around you.	game/story/chapter1.rpy	281	narrator "[what]"
ignore_devon_8978d91e	narrator	Three children in identical lizard suits stand before you.	game/story/chapter1.rpy	282	narrator "[what]"
ignore_devon_9822b5fb	narrator	Wait.	game/story/chapter1.rpy	283	narrator "[what]"
ignore_devon_6abc73ef	narrator	You rub your eyes in attempt to clear your vision. You look at the three small figures again.	game/story/chapter1.rpy	286	narrator "[what]"
ignore_devon_594d1cb4	se	(Those aren't costumes...)	game/story/chapter1.rpy	292	se "[what]"
ignore_devon_9c2f0448	se	(Those are children...but they're {i}lizards{/i}?)	game/story/chapter1.rpy	293	se "[what]"
ignore_devon_30def256	se	(Those are {i}lizard{/i} children. That can't be right. Where {i}am I{/i}?)	game/story/chapter1.rpy	294	se "[what]"
ignore_devon_1e3245f3	Moonga	Hey Lady!{w=1} Do something cool...{w=2.0}like casting light magic out of your eyes or something.	game/story/chapter1.rpy	296	Moonga "[what]"
ignore_devon_f7b3f0a9	narrator	The angry lizard continues to stare at you with demanding impression.	game/story/chapter1.rpy	298	narrator "[what]"
ignore_devon_42955235	Panna	Let me see the book again. I'm certain we casted the spell incorrectly.	game/story/chapter1.rpy	299	Panna "[what]"
ignore_devon_9003f272	Sunela	Uhm. Excuse me, Miss, are you our hero?	game/story/chapter1.rpy	300	Sunela "[what]"
ignore_devon_6d2c0ea0	narrator	Shakily, you manage to stand up and attempt to find your footing.	game/story/chapter1.rpy	302	narrator "[what]"
ignore_devon_1e76b32b	Serene	Where am I...?	game/story/chapter1.rpy	304	Serene "[what]"
ignore_devon_e18d3f23	narrator	You briefly regain your composure before reality and time seemingly shifts and warps around you.	game/story/chapter1.rpy	307	narrator "[what]"
ignore_devon_38325682	narrator	An advanced human-like AI echoes through the forefront of your mind.	game/story/chapter1.rpy	310	narrator "[what]"
ignore_devon_10f1ec16	Phone	Shimmer complete. Arrived at Destination: Principality of Balenci.	game/story/chapter1.rpy	312	Phone "[what]"
ignore_devon_df3a86ba	narrator	Alarmed, you look around the cave frantically trying to discern where the voice was coming from.	game/story/chapter1.rpy	314	narrator "[what]"
ignore_devon_ca64fa31	se	(Am I having auditory hallunications? What is a Shimmer...? Does this have anything to do with that text earlier?!)	game/story/chapter1.rpy	316	se "[what]"
ignore_devon_aa1013c1	Phone	Good morning, Serene. The time is now 8:53 am.	game/story/chapter1.rpy	318	Phone "[what]"
ignore_devon_f9431aec	narrator	You look up at the cave ceiling, the rock walls cascade into the shadows, pooling around the centre like a dark lake.	game/story/chapter1.rpy	320	narrator "[what]"
ignore_devon_22f5c036	Serene	You're not just a voice in my head, right? Please tell me Im not going any crazier than I already am.	game/story/chapter1.rpy	322	Serene "[what]"
ignore_devon_0df5e182	Phone	Query received: Activating "Internal Audio Mode." Tachypnea and rapid heart rate detected.	game/story/chapter1.rpy	324	Phone "[what]"
ignore_devon_45bf79a1	Phone	It appears you are under distress.	game/story/chapter1.rpy	325	Phone "[what]"
ignore_devon_24d1cf5f	Phone	Warning: Battery life at 10%. Switching to Low Power Mode.	game/story/chapter1.rpy	326	Phone "[what]"
ignore_devon_3d2a1967	se	(Internal audio mode? Low battery...? I knew this voice was familiar. {w=2.0}Is this my {i}phone{/i}?)	game/story/chapter1.rpy	328	se "[what]"
ignore_devon_7a4e7bbc	Phone	Query received: This is the only phone signed into your account. {w=2.5}Powering down.	game/story/chapter1.rpy	330	Phone "[what]"
ignore_devon_85ec0012	Serene	You can read my thoughts?! {w=1}This doesn't make any sense...! {w=2}Uh, power... on!	game/story/chapter1.rpy	335	Serene "[what]"
ignore_devon_be6110bc	narrator	An awkward silence pierces the cave.	game/story/chapter1.rpy	339	narrator "[what]"
ignore_devon_a4aa442b	narrator	The silence seems to elevate the atmospheric sounds of your surroundings.	game/story/chapter1.rpy	343	narrator "[what]"
ignore_devon_e5adde7e	narrator	The metronome of recurrent drips echoes through the cave.	game/story/chapter1.rpy	344	narrator "[what]"
ignore_devon_6119bf38	Moonga	"{i}Power on? {/i}"	game/story/chapter1.rpy	347	Moonga "[what]"
ignore_devon_1dc41da1	Moonga	Maaaan. She can't even cast any spells either. {w=1.5}She just keeps talking to herself.	game/story/chapter1.rpy	349	Moonga "[what]"
ignore_devon_9efae546	Sunela	Uhm... Miss...?	game/story/chapter1.rpy	351	Sunela "[what]"
ignore_devon_86bf4202	narrator	You spin your heels and turn around to face Sunela.	game/story/chapter1.rpy	353	narrator "[what]"
sunela_intro_11fdb519	extend		game/story/chapter1.rpy	357	extend "[what]" nointeract
proceed_911abcfc	Sunela	Uh, uhm. I'm Sunela, Miss Serene!! These two are my big brothers {w=2.0}Panna and Moonga!	game/story/chapter1.rpy	369	Sunela "[what]"
proceed_3406c905	narrator	Moonga fixes their gaze on you, looking mildly disappointed before introducing themself.	game/story/chapter1.rpy	370	narrator "[what]"
proceed_aa9a4087	Moonga	...Nice to meet you, ma'am.	game/story/chapter1.rpy	371	Moonga "[what]"
proceed_009c6aa3	narrator	Without lifting his head, Panna looks up from his book. He corrects his wide framed glasses before introducing himself.	game/story/chapter1.rpy	373	narrator "[what]"
proceed_0f2bd5ef	Panna	Yes. Hello.	game/story/chapter1.rpy	375	Panna "[what]"
proceed_5c7901af	Panna	Anyway, Moonga, take a look at this line here. We did the wrong spell.	game/story/chapter1.rpy	376	Panna "[what]"
proceed_f182e740	Moonga	Whaaaaaat? For real? How was I supposed to know?	game/story/chapter1.rpy	377	Moonga "[what]"
proceed_7531626d	Panna	How many times have I told you-	game/story/chapter1.rpy	378	Panna "[what]"
proceed_d7c487e6	Panna	Read the manuscripts. {w=1.0}{i}Slowly.{/i}	game/story/chapter1.rpy	379	Panna "[what]"
proceed_253b22ac	narrator	Panna and Moonga continue to drone on...	game/story/chapter1.rpy	380	narrator "[what]"
proceed_bb7d9cc7	Sunela	There's so much I need to tell you Miss serene!! Uhm...uh...	game/story/chapter1.rpy	381	Sunela "[what]"
proceed_11fdb519	extend		game/story/chapter1.rpy	383	extend "[what]" nointeract
proceed2_9d06027e	Panna	We'll have more time to talk later, Sunela. There's still that simulacrum preventing us from leaving.	game/story/chapter1.rpy	392	Panna "[what]"
proceed2_11fdb519	extend		game/story/chapter1.rpy	395	extend "[what]" nointeract
proceed3_c4123f1a	Moonga	The dumb thing won't let us out until we answer the riddle, but it doesn't make any sense at all!	game/story/chapter1.rpy	404	Moonga "[what]"
proceed3_fec2ae1a	Moonga	That's why we needed a hero so they could smash it!	game/story/chapter1.rpy	405	Moonga "[what]"
proceed3_07f75dca	Sunela	But the uh simula-watcha-ma-call-it isn't a bad guy!! It's just lonely and wants a friend!	game/story/chapter1.rpy	406	Sunela "[what]"
proceed3_405be564	Panna	Regardless...This poses a problem. We don't exactly have enough food to stay down here much longer. We need a plan.	game/story/chapter1.rpy	407	Panna "[what]"
